Sales_in_thousands,__year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor
199.685,9.85,12.885,1.6,106.0,103.2,67.1,175.1,2.339,11.9,32.0,42.87909734
230.902,13.21,15.35,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27.0,54.26954829
73.203,17.71,20.55,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24.0,60.08796662
12.855,17.525,26.6,3.2,205.0,106.4,70.4,178.2,3.857,21.1,19.0,83.6025008
76.029,19.49,26.0,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23.0,85.21769134
41.184,5.86,9.699,1.5,92.0,96.1,65.7,166.7,2.24,11.9,31.0,36.67228358
66.692,7.825,11.799,2.0,140.0,100.4,66.9,174.0,2.626,14.5,27.0,54.59004516
29.45,8.91,14.999,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25.0,58.758249
23.713,19.69,29.465,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25.0,92.43688923
15.467,18.07297520661157,42.8,3.0,240.0,114.5,71.6,191.3,3.65,18.4,21.0,102.1789848
55.557,13.475,14.46,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17.0,48.67289791
80.556,13.775,21.62,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20.0,76.58443962
157.04,18.81,26.895,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19.0,80.38777912
24.072,26.975,31.505,3.0,210.0,105.1,70.5,190.2,3.373,18.5,23.0,87.21100104
12.698,32.075,37.805,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23.0,94.9466984
3.334,18.07297520661157,46.305,4.0,300.0,110.2,70.9,189.2,3.693,19.8,21.0,125.0133574
6.375,40.375,54.005,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0,124.4467163
9.126,18.07297520661157,60.105,4.7,230.0,112.2,76.4,192.5,5.401,25.4,15.0,105.760458
51.238,18.07297520661157,34.605,3.0,220.0,103.0,71.5,180.1,3.9,17.2,21.0,91.94380156
13.798,20.525,39.08,4.6,275.0,109.0,73.6,208.5,3.868,20.0,22.0,113.5402069
48.911,21.725,43.33,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21.0,93.9579169
22.925,18.07297520661157,42.66,5.4,300.0,119.0,79.9,204.8,5.393,30.0,15.0,123.9720467
26.232,8.325,13.987,1.8,113.0,98.4,66.5,173.6,2.25,13.2,30.0,45.83218056
42.541,10.395,19.047,2.4,154.0,100.8,68.9,175.4,2.91,15.9,24.0,62.44196235
55.616,10.595,17.357,2.4,145.0,103.7,68.5,187.8,2.945,16.3,25.0,58.60677292
5.711,16.575,24.997,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22.0,84.83077858
0.11,20.94,25.45,3.0,161.0,97.2,72.4,180.3,3.131,19.8,21.0,67.54415494
11.337,19.125,31.807,3.5,200.0,107.3,69.9,186.6,4.52,24.3,18.0,83.92081504
39.348,13.88,22.527,3.0,173.0,107.3,66.7,178.3,3.51,19.5,20.0,70.66094179
14.351,8.8,16.24,2.0,125.0,106.5,69.1,184.8,2.769,15.0,28.0,50.99774761
26.529,13.89,16.54,2.0,125.0,106.4,69.6,185.0,2.892,16.0,30.0,51.11347426
67.956,11.03,19.035,3.0,153.0,108.5,73.0,199.7,3.379,16.0,24.0,62.23996663
81.174,14.875,22.605,4.6,200.0,114.7,78.2,212.0,3.958,19.0,21.0,80.65769646
27.609,20.43,27.56,4.0,210.0,111.6,70.2,190.1,3.876,21.0,18.0,85.94974425
20.38,14.795,22.51,3.3,170.0,112.2,74.9,194.7,3.944,20.0,21.0,69.671461
18.392,26.05,31.75,2.3,185.0,105.9,67.7,177.4,3.25,16.4,26.0,78.28073088
27.602,41.45,49.9,3.2,221.0,111.5,70.8,189.4,3.823,21.1,25.0,98.2497375
16.774,50.375,69.7,4.3,275.0,121.5,73.1,203.1,4.133,23.2,21.0,125.2738757
3.311,58.6,82.6,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0,139.9822936
7.998,18.07297520661157,38.9,2.3,190.0,94.5,67.5,157.9,3.055,15.9,26.0,82.80736193
1.526,18.07297520661157,41.0,2.3,185.0,94.5,67.5,157.3,2.975,14.0,27.0,81.84896924
11.592,18.07297520661157,41.6,3.2,215.0,105.9,67.8,180.3,3.213,16.4,26.0,92.92579177
0.954,18.07297520661157,85.5,5.0,302.0,113.6,73.1,196.6,4.115,23.2,20.0,141.1009845
28.976,18.07297520661157,35.3,3.2,215.0,111.0,72.2,180.6,4.387,19.0,20.0,90.49553213
42.643,8.45,13.499,1.8,126.0,99.8,67.3,177.5,2.593,13.2,30.0,50.24197791
88.094,11.295,20.39,2.4,155.0,103.1,69.1,183.5,3.012,15.9,25.0,63.31372783
79.853,15.125,26.249,3.0,222.0,108.3,70.3,190.5,3.294,18.5,25.0,89.42782031
27.308,15.38,26.399,3.3,170.0,112.2,74.9,194.8,3.991,20.0,21.0,71.17166413
42.574,17.81,29.299,3.3,170.0,106.3,71.7,182.6,3.947,21.0,19.0,72.29035508
54.158,18.07297520661157,22.799,3.3,170.0,104.3,70.4,178.0,3.821,19.4,18.0,69.78294434
65.005,18.07297520661157,17.89,3.3,170.0,116.1,66.5,196.1,3.217,19.4,18.0,67.88927059
1.112,11.24,18.145,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25.0,60.86161155
38.554,18.07297520661157,24.15,3.5,215.0,109.0,73.6,195.9,3.455,18.0,23.844155844155843,86.27252291
80.255,18.07297520661157,18.27,2.4,150.0,107.0,70.1,186.7,2.958,15.0,27.0,60.72744693
14.69,19.89,36.229,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22.0,103.4416926
20.017,19.925,31.598,4.3,190.0,107.0,67.8,181.2,4.068,17.5,19.0,80.51167259
24.361,15.24,25.345,3.4,185.0,120.0,72.2,201.4,3.948,25.0,22.0,76.09657042
32.734,7.75,12.64,2.0,132.0,105.0,74.4,174.4,2.559,12.5,29.0,52.08489875
5.24,9.8,16.08,2.0,132.0,108.0,71.0,186.3,2.942,16.0,27.0,53.41189767
24.155,12.025,18.85,2.4,150.0,113.3,76.8,186.3,3.528,20.0,24.0,60.95118512
1.872,18.07297520661157,43.0,3.5,253.0,113.3,76.3,165.4,2.85,12.0,21.0,106.9844563
51.645,13.79,21.61,2.4,150.0,104.1,68.4,181.9,2.906,15.0,27.0,62.0158703
131.097,10.29,19.72,3.4,175.0,107.0,70.4,186.3,3.091,15.2,25.0,70.38973726
19.911,17.805,25.31,3.8,200.0,101.1,74.5,193.4,3.492,16.8,25.0,81.49272616
92.364,14.01,21.665,3.8,195.0,110.5,72.7,196.5,3.396,18.0,25.0,78.31816813
35.945,13.225,23.755,3.8,205.0,112.2,72.6,202.5,3.59,17.5,24.0,82.6613556
39.572,18.07297520661157,25.635,3.4,185.0,120.0,72.7,201.3,3.942,25.0,23.0,76.20843952
8.982,41.25,41.43,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0,93.4373307
1.28,60.625,71.02,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0,134.3909754
1.866,67.55,74.97,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0,135.9147096
9.191,18.07297520661157,33.12,2.3,170.0,106.4,70.6,189.2,3.28,18.5,23.0,73.50377819
12.115,18.07297520661157,26.1,2.0,185.0,102.6,67.4,182.2,2.99,16.9,23.0,76.02304771
80.62,9.2,10.685,1.9,100.0,102.4,66.4,176.9,2.332,12.1,33.0,39.98642475
24.546,10.59,12.535,1.9,100.0,102.4,66.4,180.0,2.367,12.1,33.0,40.70007242
5.223,10.79,14.29,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31.0,49.86577367
8.472,18.07297520661157,18.835,2.2,137.0,106.5,69.0,190.4,3.075,13.1,27.0,56.29524304
49.989,18.07297520661157,15.01,2.2,137.0,106.5,69.0,190.4,2.91,13.1,28.0,54.81972825
47.107,18.07297520661157,22.695,2.5,165.0,103.5,67.5,185.8,3.415,16.9,25.0,67.7659076
33.028,18.07297520661157,20.095,2.5,165.0,99.4,68.3,175.2,3.125,15.9,24.0,66.76294331
142.535,10.025,13.108,1.8,120.0,97.0,66.7,174.0,2.42,13.2,33.0,47.96897242
247.994,13.245,17.518,2.2,133.0,105.2,70.1,188.5,2.998,18.5,27.0,54.37241965
63.849,18.14,25.545,3.0,210.0,107.1,71.7,191.9,3.417,18.5,26.0,84.91189826
33.269,15.445,16.875,1.8,140.0,102.4,68.3,170.5,2.425,14.5,31.0,56.49603034
84.087,9.575,11.528,2.4,142.0,103.3,66.5,178.7,2.58,15.1,23.0,55.29711658
65.119,18.07297520661157,22.368,3.0,194.0,114.2,73.4,193.5,3.759,20.9,22.0,78.02721947
25.106,13.325,16.888,2.0,127.0,94.9,66.7,163.8,2.668,15.3,27.0,51.95510887
68.411,19.425,22.288,2.7,150.0,105.3,66.5,183.3,3.44,18.5,23.0,62.35557713
9.835,34.08,51.728,4.7,230.0,112.2,76.4,192.5,5.115,25.4,15.0,102.5289842
9.761,11.425,14.9,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26.0,46.94387676
83.721,13.24,16.7,2.0,115.0,98.9,68.3,172.3,2.853,14.5,26.0,47.63823666
51.102,16.725,21.2,1.8,150.0,106.4,68.5,184.1,3.043,16.4,27.0,61.70138136
9.569,16.575,19.99,2.0,115.0,97.4,66.7,160.4,3.079,13.7,26.0,48.90737225
5.596,13.76,17.5,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26.0,47.94684106
49.463,18.07297520661157,15.9,2.0,115.0,98.9,67.9,161.1,2.769,14.5,26.0,47.32963226
16.957,18.07297520661157,23.4,1.9,160.0,100.5,67.6,176.6,2.998,15.8,25.0,66.1130568
3.545,18.07297520661157,24.4,1.9,160.0,100.5,67.6,176.6,3.042,15.8,25.0,66.4988123
15.245,18.07297520661157,27.5,2.4,168.0,104.9,69.3,185.9,3.208,17.9,25.0,70.65449545
17.531,18.07297520661157,28.8,2.4,168.0,104.9,69.3,186.2,3.259,17.9,25.0,71.1559776
3.493,18.07297520661157,45.5,2.3,236.0,104.9,71.5,185.7,3.601,18.5,23.0,101.6233572
18.969,18.07297520661157,36.0,2.9,201.0,109.9,72.1,189.8,3.6,21.1,24.0,85.73565451
